player,nation,pos,age,playing_time_min,squad,attack_profile,hidden_gem,high_potential_youth,elite_performer,overall_impact,Finisher_score,Dribbler_score,Playmaker_score,Volume Shooter_score
Aster Vranckx,be BEL,MF,23,314.0,Sassuolo,Dribbler,False,False,False,0.0448,-0.127,0.357,0.0437,-0.3933
Wesley,br BRA,"DF,MF",22,408.0,Roma,Finisher,False,True,False,0.0699,1.0825,0.085,0.2884,-0.27
Kenan Yıldız,tr TUR,MF,20,515.0,Juventus,Playmaker,False,True,True,0.1089,0.7294,0.982,1.2234,0.21
Karim Adeyemi,de GER,"FW,MF",23,326.0,Dortmund,Playmaker,False,True,True,0.1399,1.2429,0.992,1.6158,0.6133
Ilyas Ansah,de GER,"MF,FW",20,402.0,Union Berlin,Finisher,False,True,True,0.1271,3.0635,1.4974,0.5591,0.1067
Fisnik Asllani,xk KVX,"FW,MF",23,456.0,Hoffenheim,Finisher,False,True,False,0.0856,1.554,-0.0463,0.3215,0.76
Leon Avdullahu,xk KVX,MF,21,486.0,Hoffenheim,Playmaker,False,False,False,0.0416,-0.1825,-0.1276,0.1667,-0.3667
Johan Bakayoko,be BEL,FW,22,455.0,RB Leipzig,Playmaker,False,True,True,0.1199,1.0214,0.7019,1.3522,0.4333
Ezechiel Banzuzi,nl NED,MF,20,231.0,RB Leipzig,Dribbler,False,False,False,0.0671,-0.0397,0.9824,0.0709,0.29
Maximilian Beier,de GER,"MF,FW",22,379.0,Dortmund,Playmaker,False,False,False,0.0671,0.4325,-0.0463,0.5177,-0.0933
Jobe Bellingham,eng ENG,MF,20,189.0,Dortmund,Playmaker,False,False,False,0.0346,-0.1825,-0.2617,0.0473,-0.33
Eliesse Ben Seghir,ma MAR,MF,20,130.0,Leverkusen,Dribbler,False,False,False,0.0567,0.1468,0.6901,-0.0118,-0.26
Tom Bischof,de GER,"MF,DF",20,126.0,Bayern Munich,Volume Shooter,False,False,False,0.0384,-0.3492,-0.1592,0.24,0.9633
Badredine Bouanani,dz ALG,FW,20,145.0,Stuttgart,Volume Shooter,False,False,False,0.0565,-0.0476,-0.3791,0.5414,0.5433
Nathaniel Brown,de GER,"DF,FW",22,374.0,Eint Frankfurt,Finisher,False,False,False,0.0601,1.3365,-0.4372,0.3806,-0.25
Fares Chaïbi,dz ALG,MF,22,446.0,Eint Frankfurt,Finisher,False,True,False,0.0801,0.6873,0.3305,0.5686,0.4133
Chema,es ESP,MF,20,221.0,Stuttgart,Finisher,False,False,False,0.0391,1.5913,-0.1592,-0.1229,-0.22
Yan Couto,br BRA,"DF,MF",23,397.0,Dortmund,Playmaker,False,True,False,0.0861,0.6865,0.1223,0.896,-0.1133
Patrice Čović,hr CRO,"MF,FW",18,138.0,Werder Bremen,Playmaker,False,False,False,0.0193,-0.2579,-0.5655,-0.1229,-0.2733
Adam Daghim,dk DEN,FW,20,182.0,Wolfsburg,Finisher,False,False,False,0.0578,0.723,-0.2617,0.1548,0.5
Muhammed Damar,de GER,"FW,MF",21,203.0,Hoffenheim,Volume Shooter,False,False,False,0.063,0.1786,-0.0547,-0.1229,1.0433
Eren Dinkçi,de GER,"FW,MF",23,211.0,Freiburg,Volume Shooter,False,False,False,0.0401,-0.2381,-0.1276,-0.0674,-0.0633
Yan Diomandé,ci CIV,FW,18,285.0,RB Leipzig,Dribbler,False,True,True,0.1047,-0.2659,1.6349,1.2683,0.14
Ezequiél Fernández,ar ARG,MF,23,141.0,Leverkusen,Volume Shooter,False,False,False,0.0231,-0.1825,-0.7218,-0.1229,-0.0633
Joel Fujita,jp JPN,MF,23,529.0,St. Pauli,Dribbler,False,False,False,0.051,-0.2381,0.3459,-0.0626,-0.2067
Andreas Hountondji,bj BEN,FW,23,308.0,St. Pauli,Finisher,False,True,False,0.0989,2.1857,-0.2645,0.4243,0.29
Oscar Højlund,dk DEN,MF,20,150.0,Eint Frankfurt,Playmaker,False,False,False,0.0212,-0.127,-0.6801,0.0898,-0.49
Arijon Ibrahimović,de GER,"MF,FW",19,460.0,Heidenheim,Playmaker,False,False,False,0.0484,-0.6151,-0.2633,0.3215,-0.1
Castrop Jens,kr KOR,MF,22,275.0,Gladbach,Finisher,False,False,False,0.0582,1.1976,-0.4712,0.0496,-0.1633
Ísak Jóhannesson,is ISL,MF,22,460.0,Köln,Finisher,False,False,False,0.0428,0.9635,-0.1592,0.0863,0.2067
Jakub Kamiński,pl POL,"MF,FW",23,540.0,Köln,Finisher,False,True,False,0.0918,1.2373,0.3868,0.4326,0.9533
Lennart Karl,de GER,FW,17,126.0,Bayern Munich,Volume Shooter,True,True,True,0.1033,0.7302,0.0957,0.8877,1.1767
Luca Kerber,de GER,MF,23,320.0,Heidenheim,Playmaker,False,False,False,0.0193,-0.2381,-0.5655,-0.0674,-0.21
Bilal El Khannouss,ma MAR,MF,21,354.0,Stuttgart,Finisher,False,True,False,0.0749,1.5524,0.1803,0.0213,0.2733
Ansgar Knauff,de GER,"FW,MF",23,206.0,Eint Frankfurt,Finisher,True,True,False,0.0867,1.5595,0.0782,0.422,0.6767
Christian Kofane,cm CMR,FW,19,183.0,Leverkusen,Playmaker,True,True,True,0.1012,0.5952,0.8678,1.013,0.1667
Mert Kömür,de GER,"FW,MF",20,482.0,Augsburg,Finisher,False,True,False,0.0732,0.8929,0.1069,0.2423,0.32
Hugo Larsson,se SWE,MF,21,296.0,Eint Frankfurt,Dribbler,False,False,False,0.0557,-0.0635,0.8678,0.0934,-0.39
Tim Lemperle,de GER,FW,23,330.0,Hoffenheim,Dribbler,False,True,False,0.0866,0.8349,0.8678,0.6277,0.1467
Said El Mala,de GER,"FW,DF",19,217.0,Köln,Playmaker,True,True,True,0.1856,1.6944,1.1128,2.3723,1.3067
Johan Manzambi,ch SUI,MF,19,304.0,Freiburg,Playmaker,False,True,False,0.0853,-0.3413,0.7124,0.9279,0.3967
Eric Martel,de GER,"MF,DF",23,508.0,Köln,Dribbler,False,False,False,0.05,-0.127,0.8678,-0.0591,-0.43
Jean Mattéo Bahoya,fr FRA,FW,20,347.0,Eint Frankfurt,Finisher,False,True,True,0.1033,1.0603,0.9918,0.8582,0.2867
Ibrahim Maza,dz ALG,"MF,DF",19,215.0,Leverkusen,Dribbler,True,True,False,0.081,0.2579,0.5581,0.2104,0.4867
Samuel Mbangula,be BEL,FW,21,366.0,Werder Bremen,Finisher,False,True,False,0.0955,2.123,0.2425,0.695,-0.1633
William Mikelbrencis,fr FRA,"DF,MF",21,119.0,Hamburger SV,Dribbler,False,True,False,0.0684,0.3056,0.8678,0.0993,0.0133
Paul Nebel,de GER,MF,22,329.0,Mainz 05,Finisher,False,False,False,0.0611,0.1913,-0.0937,0.1395,0.0567
Luca Netz,de GER,"DF,MF",22,165.0,Gladbach,Dribbler,False,False,False,0.0589,-0.127,0.9824,0.3191,-0.49
Antonio Nusa,no NOR,FW,20,278.0,RB Leipzig,Playmaker,False,True,False,0.0924,-0.2778,0.7445,0.9326,0.3733
Michael Olise,fr FRA,"FW,MF",23,466.0,Bayern Munich,Volume Shooter,False,True,True,0.1847,1.327,1.2591,2.1501,2.4267
Assan Ouedraogo,de GER,MF,19,196.0,RB Leipzig,Finisher,True,True,False,0.0946,0.627,0.5327,0.5922,0.2767
Aleksandar Pavlovic,de GER,MF,21,268.0,Bayern Munich,Finisher,False,False,False,0.0628,2.6746,-0.6488,0.1147,-0.3767
Dženan Pejčinović,de GER,FW,20,229.0,Wolfsburg,Volume Shooter,False,False,False,0.0588,-0.5278,0.2723,0.1548,0.69
Ernest Poku,nl NED,"MF,FW",21,215.0,Leverkusen,Finisher,True,True,False,0.0772,1.873,0.1511,0.1548,0.0667
Rocco Reitz,de GER,MF,23,476.0,Gladbach,Volume Shooter,False,False,False,0.0609,-0.2341,-0.0463,0.0437,0.7667
Fabian Rieder,ch SUI,MF,23,353.0,Augsburg,Playmaker,False,True,True,0.1215,0.5413,0.6875,1.3274,0.6033
Rômulo,br BRA,FW,23,475.0,RB Leipzig,Dribbler,False,True,False,0.0727,0.25,0.4626,0.3889,0.33
Alexander Røssing-Lelesiit,no NOR,"FW,MF",18,194.0,Hamburger SV,Dribbler,False,False,False,0.0538,0.0556,0.0835,0.0437,-0.3367
Derry Scherhant,de GER,"FW,MF",22,115.0,Freiburg,Finisher,True,True,True,0.1176,1.8817,-0.6905,0.9314,1.5767
Armindo Sieb,de GER,"FW,MF",22,237.0,Mainz 05,Dribbler,False,False,False,0.0644,0.2968,0.7098,0.2104,0.5233
Xavi Simons,nl NED,MF,22,90.0,RB Leipzig,Dribbler,False,False,False,0.0365,-0.127,0.0053,-0.1229,-0.49
Yuito Suzuki,jp JPN,MF,23,137.0,Freiburg,Playmaker,False,False,False,0.0266,-0.5159,-0.5655,0.2222,0.1667
Daniel Svensson,se SWE,"DF,MF",23,540.0,Dortmund,Finisher,False,False,False,0.0623,1.3294,0.7098,-0.0071,-0.38
Jan Thielmann,de GER,"FW,MF",23,371.0,Köln,Finisher,False,True,False,0.1005,1.1921,-0.2013,0.8322,0.6433
Malik Tillman,us USA,MF,23,375.0,Leverkusen,Finisher,False,True,False,0.0791,1.2587,-0.0171,0.6844,0.23
Umut Tohumcu,de GER,MF,21,118.0,Hoffenheim,Dribbler,False,False,False,0.0598,-0.1825,0.8678,0.1466,0.02
Tiago Tomás,pt POR,"FW,MF",23,303.0,Stuttgart,Volume Shooter,False,True,False,0.0793,0.4786,-0.0579,0.3771,1.0933
Bazoumana Touré,ci CIV,"FW,MF",19,527.0,Hoffenheim,Playmaker,False,True,True,0.1223,-0.5238,1.5719,1.7801,0.1933
Can Uzun,tr TUR,MF,19,427.0,Eint Frankfurt,Finisher,False,True,True,0.1114,3.0825,0.0999,0.7305,0.7733
Elye Wahi,fr FRA,FW,22,211.0,Eint Frankfurt,Playmaker,False,False,False,0.0449,-0.0675,-0.3791,0.4007,-0.2067
Nelson Weiper,de GER,FW,20,300.0,Mainz 05,Playmaker,False,False,False,0.0387,-0.1667,-0.2617,0.0437,-0.09
Nick Woltemade,de GER,FW,23,90.0,Stuttgart,Dribbler,False,False,False,0.0355,-0.127,0.4429,0.0437,-0.49
Matthis Abline,fr FRA,"MF,FW",22,444.0,Nantes,Dribbler,False,True,True,0.121,-0.8254,1.7679,1.1147,0.39
Giorgi Abuashvili,ge GEO,FW,22,151.0,Metz,Volume Shooter,False,False,False,0.0523,-0.1825,-0.2645,0.1548,0.5033
Maghnes Akliouche,fr FRA,"FW,MF",23,540.0,Monaco,Playmaker,False,True,False,0.0685,0.3492,-0.2413,0.6608,0.0667
Mohamed Ali Cho,fr FRA,FW,21,150.0,Nice,Playmaker,False,False,False,0.0318,-0.127,-0.6488,0.5248,-0.29
Samuel Amo-Ameyaw,eng ENG,"DF,FW",19,207.0,Strasbourg,Dribbler,True,True,False,0.0814,-0.1825,0.9284,0.9078,-0.2
Mathis Amougou,fr FRA,MF,19,133.0,Strasbourg,Playmaker,False,False,False,0.0478,0.0317,0.0053,0.1548,-0.04
Hákon Arnar Haraldsson,is ISL,"MF,FW",22,477.0,Lille,Volume Shooter,False,True,False,0.0847,0.4238,0.404,0.4125,0.7033
Dehmaine Assoumani,fr FRA,MF,20,190.0,Nantes,Dribbler,False,False,False,0.0589,-0.1825,0.7675,-0.0674,0.14
Arthur Avom,cm CMR,MF,20,552.0,Lorient,Dribbler,False,True,False,0.0907,-0.2302,1.1257,0.6005,-0.2167
Dilane Bakwa,fr FRA,"DF,MF",23,107.0,Strasbourg,Playmaker,True,True,True,0.1491,1.8175,0.3163,2.4811,0.07
Aladji Bamba,fr FRA,MF,19,124.0,Monaco,Playmaker,False,False,False,0.0147,-0.127,-0.5655,-0.1229,-0.49
Mohamed Bamba,ci CIV,FW,23,332.0,Lorient,Finisher,False,False,False,0.0514,0.5167,-0.2617,0.1395,0.0533
Valentín Barco,ar ARG,"MF,DF",21,565.0,Strasbourg,Dribbler,False,True,False,0.0826,-0.4444,0.7019,0.5485,0.2767
Bradley Barcola,fr FRA,FW,23,403.0,Paris S-G,Finisher,False,True,True,0.138,1.5254,0.7542,1.4811,0.7
Yassin Belkhdim,fr FRA,MF,23,599.0,Angers,Playmaker,False,False,False,0.035,-0.123,-0.2617,0.0414,-0.29
Yassine Benhattab,fr FRA,"MF,FW",22,342.0,Nantes,Playmaker,False,False,False,0.0568,-0.1825,0.2575,0.4693,-0.2267
Mika Biereth,dk DEN,"FW,MF",22,431.0,Monaco,Playmaker,False,False,False,0.0643,-0.177,-0.4767,0.3593,-0.0033
Morgan Bokelé Mputu,cm CMR,"DF,FW",21,139.0,Metz,Playmaker,False,False,False,0.0422,-0.2381,-0.1692,0.3215,-0.2733
Ayyoub Bouaddi,fr FRA,MF,18,521.0,Lille,Dribbler,False,True,False,0.073,-0.5595,1.2618,0.1548,-0.1433
Badredine Bouanani,dz ALG,MF,20,93.0,Nice,Playmaker,False,False,False,0.0325,-0.1825,-0.3791,-0.0674,-0.1667
Marius Broholm,no NOR,FW,20,90.0,Lille,Dribbler,False,False,False,0.0372,-0.127,0.0053,-0.0674,-0.49
Amady Camara,ml MLI,"MF,FW",20,119.0,Nantes,Playmaker,False,False,False,0.0618,-0.2381,-0.2617,0.4243,0.2667
Lamine Camara,sn SEN,MF,21,332.0,Monaco,Volume Shooter,False,True,False,0.0956,-0.2381,0.4185,0.6927,0.87
Jaydee Canvot,fr FRA,"MF,DF",19,180.0,Toulouse,Dribbler,False,False,False,0.0446,-0.1825,0.2723,-0.0674,-0.1567
Sidiki Cherif,fr FRA,"FW,MF",18,376.0,Angers,Volume Shooter,False,True,False,0.0697,-0.1746,0.0843,0.266,0.3867
Djaoui Cissé,fr FRA,MF,21,239.0,Rennes,Volume Shooter,False,False,False,0.0586,-0.0873,0.0782,0.2104,0.39
Lasso Coulibaly,ci CIV,"MF,FW",22,98.0,Auxerre,Dribbler,False,False,False,0.05,-0.127,0.5443,-0.0118,-0.49
Mamadou Coulibaly,fr FRA,MF,21,127.0,Monaco,Playmaker,False,False,False,0.0201,-0.127,-0.6801,-0.0674,-0.2533
Marius Courcoul,fr FRA,MF,18,94.0,Angers,Playmaker,False,False,False,0.0292,-0.127,-0.2617,-0.1229,-0.49
Kévin Danois,fr FRA,MF,21,613.0,Auxerre,Dribbler,False,False,False,0.0545,-0.4008,0.6212,-0.0674,-0.1967
Andy Diouf,fr FRA,MF,22,90.0,Lens,Volume Shooter,False,False,False,0.0611,0.1587,0.2111,-0.0674,0.51
Désiré Doué,fr FRA,"FW,MF",20,168.0,Paris S-G,Playmaker,True,True,False,0.0803,-0.2381,0.0835,0.9574,0.7233
Ismaël Doukouré,fr FRA,"DF,MF",22,495.0,Strasbourg,Dribbler,False,True,False,0.0757,-0.2381,1.2116,0.3381,-0.43
Kamory Doumbia,ml MLI,MF,22,560.0,Brest,Finisher,False,True,False,0.0886,0.7492,0.3986,0.6572,0.3667
Simon Ebonog,cm CMR,MF,21,221.0,Le Havre,Playmaker,False,False,False,0.0395,-0.127,-0.4372,0.266,-0.22
Noah Edjouma,fr FRA,"FW,MF",20,175.0,Toulouse,Dribbler,False,False,False,0.0512,-0.127,0.0751,0.0579,-0.32
Emanuel Emegha,nl NED,FW,22,227.0,Strasbourg,Volume Shooter,True,True,False,0.081,0.7262,-0.5655,0.4905,1.33
Emersonn,br BRA,FW,21,100.0,Toulouse,Volume Shooter,True,True,False,0.0881,0.7206,-0.1276,0.0437,2.21
Ansu Fati,es ESP,"MF,FW",22,161.0,Monaco,Finisher,True,True,False,0.0795,2.3175,-0.2013,0.0757,0.2567
Matias Fernandez-Pardo,be BEL,FW,20,499.0,Lille,Playmaker,False,True,True,0.1195,0.9476,0.7367,1.6714,0.17
Malick Fofana,be BEL,FW,20,578.0,Lyon,Playmaker,False,True,True,0.1153,0.4024,0.4696,1.7116,0.2367
Rayan Fofana,fr FRA,FW,19,375.0,Lens,Playmaker,False,True,False,0.1006,0.5603,0.2629,1.1844,0.87
Martial Godo,eng ENG,"MF,FW",22,141.0,Strasbourg,Finisher,True,True,False,0.0934,2.2421,-0.0547,0.6596,0.36
Rafael Gonçalves,pt POR,MF,20,193.0,Strasbourg,Playmaker,False,False,False,0.0417,0.004,0.0053,0.0437,-0.3333
Idrissa Guèye,sn SEN,FW,19,132.0,Metz,Volume Shooter,False,False,False,0.0205,-0.1825,-0.5655,-0.0674,-0.0367
Bahereba Guirassy,fr FRA,"MF,FW",19,230.0,Nantes,Playmaker,False,False,False,0.0614,-0.1508,-0.0887,0.4043,0.1633
Santiago Hidalgo,ar ARG,FW,20,120.0,Toulouse,Playmaker,False,False,False,0.0454,-0.1825,-0.2421,0.3097,-0.24
Hamza Igamane,ma MAR,"FW,MF",22,115.0,Lille,Finisher,True,True,True,0.1279,1.6167,0.0782,0.9894,1.3367
George Ilenikhena,ng NGA,"FW,MF",19,144.0,Monaco,Finisher,True,True,False,0.0796,2.0151,-0.3791,0.208,0.76
Isak Jansson,se SWE,"MF,FW",23,263.0,Nice,Volume Shooter,False,False,False,0.0492,0.0595,-0.4619,0.1548,0.1933
Justin-Noël Kalumba,fr FRA,"FW,MF",20,224.0,Angers,Dribbler,False,False,False,0.0487,-0.127,0.1067,-0.1229,-0.3567
Adam Karabec,cz CZE,FW,22,413.0,Lyon,Dribbler,False,True,False,0.0729,0.2698,0.5444,0.4551,-0.1267
Dermane Karim,tg TOG,"MF,FW",21,392.0,Lorient,Playmaker,False,False,False,0.0546,-0.2937,-0.0231,0.6773,-0.26
Yassine Kechta,ma MAR,MF,23,403.0,Le Havre,Playmaker,False,False,False,0.0559,-0.1706,0.0782,0.2884,-0.0433
Arsène Kouassi,bf BFA,"DF,MF",21,560.0,Lorient,Dribbler,False,True,False,0.0863,-0.127,1.402,0.3794,0.0633
Rémy Labeau Lascary,gp GLP,"FW,MF",22,105.0,Brest,Finisher,True,True,True,0.1073,2.5405,-0.2617,0.9043,0.3667
Mayckel Lahdo,se SWE,"MF,FW",22,225.0,Nantes,Finisher,False,True,False,0.0698,1.5317,0.1803,-0.0674,-0.2233
Félix Lemaréchal,fr FRA,"MF,FW",22,444.0,Strasbourg,Volume Shooter,False,True,True,0.1125,-0.4087,0.9677,0.4823,1.1167
Johann Lepenant,fr FRA,MF,22,527.0,Nantes,Playmaker,False,False,False,0.0514,-0.1032,-0.0887,0.104,-0.15
Louis Leroux,fr FRA,"MF,DF",19,476.0,Nantes,Finisher,False,False,False,0.058,1.1262,-0.0463,-0.0674,-0.3
Tom Louchet,fr FRA,"DF,MF",22,308.0,Nice,Playmaker,False,False,False,0.0418,-0.1825,-0.3791,0.2494,-0.0033
Lanroy Machine,fr FRA,"FW,MF",19,106.0,Angers,Volume Shooter,False,False,False,0.0571,0.0476,-0.7009,-0.0118,1.49
Brian Madjo,lu LUX,FW,16,150.0,Metz,Volume Shooter,False,False,False,0.0253,-0.0556,-0.5655,-0.1229,0.11
Hamidou Makalou,ml MLI,"MF,FW",19,122.0,Brest,Volume Shooter,False,False,False,0.0225,-0.127,-0.6801,-0.1229,0.0033
Sekou Mara,fr FRA,FW,23,263.0,Auxerre,Volume Shooter,False,False,False,0.0497,-0.246,-0.3935,-0.0674,0.9233
Senny Mayulu,fr FRA,MF,19,171.0,Paris S-G,Playmaker,False,False,False,0.0401,-0.1825,-0.4372,0.1761,0.0367
Ibrahim Mbaye,fr FRA,FW,17,301.0,Paris S-G,Dribbler,False,True,False,0.078,-0.1746,0.8429,0.5993,-0.09
Pathé Mboup,sn SEN,"FW,MF",22,210.0,Brest,Dribbler,False,False,False,0.0465,-0.123,-0.0534,-0.0674,-0.06
Mohamed Meité,fr FRA,FW,17,144.0,Rennes,Volume Shooter,True,True,False,0.0844,0.8706,0.4626,0.0437,0.9667
Khalis Merah,fr FRA,"FW,MF",18,322.0,Lyon,Dribbler,False,False,False,0.0415,-0.2381,0.1511,-0.0236,-0.3033
Dayann Methalie,fr FRA,"MF,DF",19,444.0,Toulouse,Dribbler,False,False,False,0.0635,-0.0516,0.3874,0.1548,-0.22
Diego Moreira,be BEL,"DF,FW",21,442.0,Strasbourg,Playmaker,False,True,False,0.0743,-0.1587,0.4103,0.578,-0.22
Tyler Morton,eng ENG,MF,22,524.0,Lyon,Finisher,False,True,False,0.0802,1.0746,0.6228,0.1596,0.1833
Samir El Mourabet,ma MAR,MF,20,345.0,Strasbourg,Dribbler,False,False,False,0.0483,-0.2381,0.2111,0.0437,-0.1433
Louis Mouton,fr FRA,MF,23,294.0,Angers,Volume Shooter,False,False,False,0.0412,-0.3929,0.0053,-0.013,0.02
Ngal'Ayel Mukau,cd COD,"MF,FW",20,308.0,Lille,Finisher,False,False,False,0.0567,0.481,-0.2617,0.3771,0.0933
Joel Mvuka,no NOR,"DF,MF",22,252.0,Lorient,Playmaker,False,False,False,0.0543,-0.2381,0.1515,0.3771,-0.1333
Junior Mwanga,fr FRA,"DF,MF",22,180.0,Strasbourg,Playmaker,False,False,False,0.0388,-0.127,0.0053,0.0437,-0.3233
Junior Mwanga,fr FRA,"MF,DF",22,346.0,Nantes,Finisher,False,True,False,0.0806,2.5873,0.2111,-0.1229,-0.4033
Bilal Nadir,ma MAR,"MF,FW",21,175.0,Marseille,Playmaker,True,True,False,0.0814,-0.0913,-0.1158,1.4551,0.0233
Rassoul Ndiaye,sn SEN,MF,23,420.0,Le Havre,Finisher,False,True,False,0.0717,2.0032,0.0053,0.0071,0.08
Quentin Ndjantou Mbitcha,fr FRA,MF,18,119.0,Paris S-G,Dribbler,False,False,False,0.0531,-0.0476,0.2111,-0.0118,0.0133
João Neves,pt POR,MF,21,176.0,Paris S-G,Finisher,False,True,False,0.0683,2.869,-0.5342,0.0437,0.5333
Ibrahim Osman,gh GHA,"MF,FW",20,254.0,Auxerre,Playmaker,False,True,False,0.074,-0.0952,0.2522,0.5733,0.22
Abdoul Ouattara,fr FRA,"DF,MF",19,459.0,Strasbourg,Finisher,False,False,False,0.0665,1.4159,-0.2645,0.1702,-0.0967
Kendry Páez,ec ECU,"FW,MF",18,276.0,Strasbourg,Volume Shooter,False,True,False,0.0781,0.7397,-0.0937,0.266,0.77
Pablo Pagis,fr FRA,"FW,MF",22,178.0,Lorient,Finisher,True,True,True,0.1451,3.1976,0.1803,1.1241,0.69
Joaquín Panichelli,ar ARG,FW,23,531.0,Strasbourg,Finisher,False,True,False,0.0861,0.7675,-0.084,0.1596,0.4133
Prosper Peter,ng NGA,FW,18,435.0,Angers,Playmaker,False,False,False,0.059,0.1095,-0.2633,0.266,0.13
Fabian Rieder,ch SUI,MF,23,133.0,Rennes,Playmaker,False,False,False,0.0181,-0.127,-0.5655,-0.0674,-0.2633
Ibou Sané,sn SEN,"FW,MF",20,159.0,Metz,Playmaker,False,False,False,0.0384,0.0992,-0.3935,0.1548,-0.3
Mamadou Sangare,ml MLI,MF,23,477.0,Lens,Dribbler,False,True,False,0.0871,-0.1627,0.6919,0.3333,0.3233
Mario Sauer,sk SVK,MF,21,346.0,Toulouse,Dribbler,False,True,False,0.0768,-0.0794,0.8678,0.3026,-0.0567
Alpha Touré,sn SEN,"DF,MF",19,204.0,Metz,Dribbler,False,False,False,0.0406,-0.127,0.0782,-0.0674,-0.49
Robinio Vaz,fr FRA,FW,18,99.0,Marseille,Finisher,True,True,False,0.0983,1.6897,-0.1592,1.3558,0.42
Etienne Youte Kinkoue,fr FRA,"DF,MF",23,168.0,Le Havre,Playmaker,False,False,False,0.0129,-0.127,-0.1592,-0.1229,-0.49
Warren Zaïre-Emery,fr FRA,"MF,DF",19,481.0,Paris S-G,Dribbler,False,False,False,0.0597,-0.1071,0.592,0.1667,-0.3033
