player,nation,pos,age,playing_time_min,squad,attack_profile,hidden_gem,high_potential_youth,elite_performer,overall_impact,Finisher_score,Dribbler_score,Playmaker_score,Volume Shooter_score
Chris Rigg,eng ENG,MF,18,96.0,Sunderland,Dribbler,False,False,False,0.0589,-0.1825,0.8678,0.0437,0.1333
Morgan Rogers,eng ENG,"FW,MF",23,621.0,Aston Villa,Dribbler,False,True,False,0.0822,-0.1746,0.6169,0.5296,-0.1533
Georginio Rutter,fr FRA,"FW,MF",23,367.0,Brighton,Playmaker,False,True,False,0.0768,0.0,0.0873,1.0839,0.0
Noah Sadiki,cd COD,MF,20,622.0,Sunderland,Playmaker,False,False,False,0.0576,-0.1825,0.3897,0.4326,-0.3933
Andrey Santos,br BRA,MF,21,174.0,Chelsea,Dribbler,False,False,False,0.0565,-0.1429,0.8678,-0.1229,0.0267
Sávio,br BRA,MF,21,169.0,Manchester City,Playmaker,False,False,False,0.0439,0.0833,-0.3934,0.3771,-0.1333
Nicolò Savona,it ITA,"DF,MF",22,144.0,Nott'ham Forest,Dribbler,False,False,False,0.0318,-0.127,0.4429,-0.1229,-0.49
Kevin Schade,de GER,FW,23,572.0,Brentford,Playmaker,False,False,False,0.0652,-0.0849,-0.2046,0.7116,-0.0167
Alex Scott,eng ENG,MF,22,449.0,Bournemouth,Finisher,False,True,False,0.0696,0.5968,0.1113,0.5591,-0.0233
Benjamin Šeško,si SVN,FW,22,387.0,Manchester Utd,Finisher,False,True,False,0.0773,1.0286,-0.4372,0.2364,0.44
Xavi Simons,nl NED,"FW,MF",22,250.0,Tottenham,Dribbler,False,False,False,0.059,-0.1508,0.2649,0.227,-0.01
Crysencio Summerville,nl NED,"MF,FW",23,312.0,West Ham,Playmaker,False,True,False,0.0822,-0.2897,0.4293,1.2293,-0.1067
Chemsdine Talbi,ma MAR,FW,20,501.0,Sunderland,Playmaker,False,False,False,0.0524,-0.5556,-0.2617,0.1714,-0.01
Loum Tchaouna,fr FRA,MF,22,312.0,Burnley,Volume Shooter,False,True,False,0.0819,-0.1786,-0.4411,0.4161,0.49
Mathys Tel,fr FRA,FW,20,178.0,Tottenham,Finisher,False,True,False,0.0732,1.0754,0.2723,0.3463,0.1833
Lesley Ugochukwu,fr FRA,MF,21,288.0,Burnley,Finisher,False,False,False,0.0573,0.9405,0.1511,-0.1229,-0.0733
Adam Wharton,eng ENG,MF,21,451.0,Crystal Palace,Dribbler,False,True,False,0.068,-0.1825,1.4407,0.3369,-0.29
Estêvão Willian,br BRA,FW,18,264.0,Chelsea,Playmaker,True,True,True,0.1324,0.3683,1.1355,1.396,0.42
Florian Wirtz,de GER,"MF,FW",22,482.0,Liverpool,Playmaker,False,True,False,0.0705,-0.4603,0.4029,0.6548,0.07
Nick Woltemade,de GER,FW,23,302.0,Newcastle Utd,Finisher,False,False,False,0.0571,1.4556,-0.2617,-0.0674,0.1067
Yehor Yarmoliuk,ua UKR,MF,21,600.0,Brentford,Dribbler,False,True,False,0.0774,-0.119,0.5521,0.4255,-0.24
Lucien Agoume,fr FRA,MF,23,609.0,Sevilla,Finisher,False,True,False,0.0775,2.6548,0.0053,-0.0165,-0.44
Ilias Akhomach,ma MAR,"MF,FW",21,131.0,Villarreal,Finisher,False,False,False,0.0384,0.25,-0.7322,0.0437,-0.0333
Carlos Álvarez,es ESP,MF,22,490.0,Levante,Finisher,False,True,False,0.0913,1.3183,0.2475,0.2943,0.56
Hugo Álvarez,es ESP,"FW,DF",22,306.0,Celta Vigo,Finisher,False,True,False,0.0782,2.7103,-0.2013,0.1548,-0.3933
Yaser Asprilla,co COL,FW,21,402.0,Girona,Volume Shooter,False,True,False,0.0833,-0.0476,0.592,0.3215,0.9067
Roony Bardghji,se SWE,FW,19,139.0,Barcelona,Volume Shooter,True,True,True,0.1315,1.3373,0.9602,0.5437,1.4533
